Id,Sales
1,3925.82080078
2,6906.59814453
3,8497.17382812
4,7313.03222656
5,6977.77294922
6,5506.17871094
7,7573.51074219
8,8096.62304688
9,5433.46533203
10,5483.68310547
11,6602.96826172
12,7924.68115234
13,7017.67919922
14,8787.45214844
15,5793.796875
16,4680.68652344
17,5521.60449219
18,9663.70605469
19,10277.5029297
20,9456.02636719
21,7630.18847656
22,4031.40576172
23,5604.13378906
24,4161.57470703
25,7602.51806641
26,10750.9599609
27,9231.53808594
28,5848.6328125
29,5060.39941406
30,4198.47265625
31,5754.72558594
32,10187.3271484
33,6198.59619141
34,5215.5
35,5236.5859375
36,7242.56201172
37,3507.2980957
38,7369.37695312
39,4120.45410156
40,6560.73681641
41,6241.45507812
42,4919.29541016
43,7474.66357422
44,6568.73291016
45,4876.02148438
46,6436.14794922
47,6921.58154297
48,11483.5869141
49,5799.43603516
50,8177.46142578
51,6829.37890625
52,8959.29394531
53,6292.07128906
54,8849.71875
55,4490.21044922
56,4814.94775391
57,5916.93164062
58,5333.65722656
59,8585.2109375
60,7654.75390625
61,5411.68505859
62,7046.50732422
63,6489.09179688
64,9401.88769531
65,3669.14111328
66,10978.2998047
67,4839.38818359
68,6021.14208984
69,7962.89013672
70,4858.15722656
71,5915.1484375
72,5827.4609375
73,7179.12890625
74,5341.54345703
75,5566.70800781
76,7126.45996094
77,7617.09277344
78,6644.86230469
79,4930.98388672
80,6996.37304688
81,11370.9492188
82,6246.8984375
83,4077.23828125
84,6705.99316406
85,5503.62695312
86,5588.30712891
87,7178.51220703
88,3829.8515625
89,7504.67382812
90,5744.08105469
91,6827.30761719
92,5866.19824219
93,4112.22802734
94,5122.15185547
95,4845.72119141
96,7868.99707031
97,8685.06445312
98,4913.98193359
99,4289.60205078
100,6841.31640625
101,5658.61621094
102,5878.5546875
103,7042.56298828
104,6485.45996094
105,7435.78173828
106,5472.0625
107,4365.70996094
108,6273.48193359
109,7734.78759766
110,7700.52929688
111,7977.73681641
112,7654.05273438
113,5572.60498047
114,8170.81933594
115,5430.59521484
116,6705.30859375
117,8336.19824219
118,6100.86328125
119,9792.69433594
120,7401.98583984
121,7546.78027344
122,5448.55761719
123,6843.25488281
124,7522.33886719
125,6363.89599609
126,3925.85449219
127,5042.13867188
128,7347.99804688
129,5021.25048828
130,3831.9309082
131,8069.63964844
132,6347.7890625
133,5561.94140625
134,5557.00439453
135,5294.10693359
136,7211.36376953
137,6739.32958984
138,6173.34912109
139,5337.55566406
140,4791.8828125
141,6250.80273438
142,3767.79589844
143,6025.14599609
144,5002.07128906
145,8056.87353516
146,7178.77978516
147,5864.74902344
148,12217.296875
149,4997.26464844
150,4799.16552734
151,10281.5615234
152,6347.37109375
153,8279.32128906
154,6991.65673828
155,4936.03320312
156,6195.22753906
157,5477.69189453
158,8050.93554688
159,11015.7216797
160,6011.99414062
161,2999.96875
162,4558.50488281
163,8190.59912109
164,8507.6015625
165,6245.44482422
166,6712.60351562
167,4559.61425781
168,5274.13720703
169,3149.96166992
170,4808.29736328
171,5913.08349609
172,7102.54003906
173,6717.02929688
174,6201.12158203
175,7863.59521484
176,9053.12890625
177,7580.29638672
178,4820.23242188
179,8892.01464844
180,10921.0068359
181,5821.38916016
182,7063.81445312
183,5052.84619141
184,6214.64550781
185,4042.98583984
186,6811.46923828
187,5211.79980469
188,8675.28710938
189,6939.72070312
190,8268.63671875
191,8020.16357422
192,5275.375
193,8164.89892578
194,17712.5058594
195,10123.4199219
196,5715.05615234
197,2794.52758789
198,6018.14453125
199,7830.08056641
200,5413.00634766
201,12475.5927734
202,18269.2675781
203,3869.53027344
204,5088.68164062
205,8678.42382812
206,4867.04882812
207,7999.67382812
208,6426.19824219
209,7172.02441406
210,4440.52001953
211,6128.68359375
212,5958.34277344
213,7077.73486328
214,9223.25683594
215,5921.3125
216,5449.61279297
217,6934.83789062
218,5015.76025391
219,4904.91992188
220,7143.78710938
221,5601.04003906
222,5879.32861328
223,6930.61865234
224,6144.83300781
225,5473.71240234
226,6844.83447266
227,6978.90380859
228,7934.74023438
229,5911.45410156
230,7423.97558594
231,5368.66699219
232,3585.47363281
233,5943.19921875
234,6430.7109375
235,5734.05273438
236,4547.33496094
237,8921.56054688
238,6906.30908203
239,9159.37597656
240,6924.79101562
241,5532.85009766
242,5121.24853516
243,4039.48950195
244,9596.390625
245,5176.76611328
246,7610.47705078
247,14158.3378906
248,7050.18457031
249,7123.0078125
250,5112.93115234
251,4374.2890625
252,7056.91259766
253,3880.92700195
254,5711.77001953
255,10247.1025391
256,5133.44091797
257,16218.3056641
258,13320.9570312
259,4827.36914062
260,6868.77099609
261,5255.95214844
262,6374.70410156
263,5543.24072266
264,10842.1416016
265,7357.01660156
266,9181.38183594
267,4334.58056641
268,7194.55224609
269,4667.14208984
270,8446.75195312
271,6679.62841797
272,5877.55126953
273,6032.70800781
274,6031.86816406
275,7807.62597656
276,9517.11816406
277,5383.60986328
278,9658.29785156
279,6382.68017578
280,8976.85351562
281,5237.46533203
282,5255.36572266
283,5217.51025391
284,9793.85253906
285,5975.89013672
286,7287.17919922
287,6565.70117188
288,8612.59570312
289,4456.10107422
290,7959.57910156
291,6492.61474609
292,3968.30639648
293,13765.0537109
294,16794.0273438
295,7018.04785156
296,6794.99414062
297,8746.84765625
298,9894.92675781
299,10585.3662109
300,5453.67919922
301,7590.06396484
302,5626.61914062
303,7976.89990234
304,4001.2199707
305,5930.36767578
306,5493.01708984
307,5787.85888672
308,7201.77490234
309,5264.88867188
310,4641.09570312
311,6789.16357422
312,3705.13671875
313,4486.27587891
314,5691.69091797
315,6005.11132812
316,9199.63183594
317,8385.36816406
318,6966.83984375
319,6233.80957031
320,5954.84326172
321,10981.4199219
322,7672.85986328
323,5447.74707031
324,4518.71875
325,7677.68408203
326,4390.28271484
327,6918.96826172
328,3316.61450195
329,5115.31689453
330,7362.37304688
331,5721.48632812
332,5088.63818359
333,8400.30664062
334,8935.75683594
335,11938.5634766
336,5721.72119141
337,9119.36523438
338,3066.17553711
339,5134.75292969
340,6145.99951172
341,4269.85986328
342,7669.76464844
343,5001.265625
344,4674.29736328
345,8570.97558594
346,10507.8818359
347,8987.70898438
348,5328.44970703
349,5051.57421875
350,7172.09277344
351,6796.04394531
352,6042.89013672
353,5133.79833984
354,6706.64550781
355,9437.25
356,4245.40234375
357,6020.41259766
358,7671.63037109
359,8116.7734375
360,12407.0078125
361,5324.25878906
362,12688.9541016
363,6427.76757812
364,4982.29101562
365,3634.56298828
366,6079.04541016
367,5987.33496094
368,5516.48242188
369,7150.11328125
370,4725.44433594
371,4428.79443359
372,7004.37841797
373,3493.80053711
374,7441.65625
375,6665.02294922
376,7531.01074219
377,8546.55957031
378,5322.03955078
379,8659.50585938
380,6250.86230469
381,5277.40820312
382,5559.79882812
383,4897.45849609
384,10138.2324219
385,6226.73828125
386,4631.06152344
387,6781.82421875
388,8521.54589844
389,6984.32470703
390,6089.85742188
391,8274.45898438
392,5291.890625
393,5559.74072266
394,5929.02734375
395,8433.09082031
396,6109.03857422
397,5913.34912109
398,5364.91943359
399,5073.90869141
400,3814.83300781
401,5057.72119141
402,8212.58007812
403,7728.52636719
404,10112.4667969
405,10909.3779297
406,7902.83691406
407,5265.92333984
408,4804.8359375
409,10616.1220703
410,10463.9980469
411,7227.73144531
412,8233.39550781
413,7993.28222656
414,5624.16210938
415,3889.82592773
416,9852.89648438
417,6865.79101562
418,6484.53808594
419,6207.31152344
420,2899.76928711
421,11012.6757812
422,5981.59863281
423,5146.53613281
424,4599.14599609
425,5025.13183594
426,6080.93554688
427,8275.00292969
428,5993.69482422
429,4825.80859375
430,4691.02050781
431,3972.97265625
432,3191.36962891
433,6669.66503906
434,17516.2246094
435,4230.05371094
436,5514.50976562
437,6703.3515625
438,5206.46386719
439,5203.78271484
440,4804.05664062
441,4034.80688477
442,7176.91748047
443,6674.00537109
444,3882.23046875
445,8255.64160156
446,5825.68847656
447,4756.25390625
448,8451.84472656
449,7160.9375
450,9064.41308594
451,5331.94775391
452,6743.09765625
453,4490.66455078
454,4742.84375
455,14619.6923828
456,10292.9238281
457,6059.60546875
458,5188.15087891
459,4771.85009766
460,5571.55761719
461,4838.22509766
462,10167.8935547
463,4875.375
464,5411.01367188
465,6842.39990234
466,4572.17480469
467,6167.54589844
468,7087.80712891
469,6818.35351562
470,6914.62011719
471,4162.53125
472,5287.515625
473,6609.60351562
474,8980.81054688
475,8115.69677734
476,6651.23535156
477,4380.38476562
478,7443.33886719
479,5906.51660156
480,4542.63964844
481,6968.08935547
482,7192.87792969
483,6413.19287109
484,6034.70507812
485,6099.29736328
486,5529.15722656
487,5335.22412109
488,6541.82226562
489,6239.10986328
490,6154.90478516
491,9187.18066406
492,5688.60791016
493,4601.74365234
494,11175.4619141
495,5820.22851562
496,3365.00805664
497,7485.28613281
498,8409.70117188
499,9525.95410156
500,4611.74951172
501,5870.46337891
502,5658.03857422
503,6850.70654297
504,5811.36376953
505,8080.94677734
506,3297.15673828
507,5734.12890625
508,6097.35498047
509,5579.125
510,4952.66699219
511,6591.47802734
512,8385.15332031
513,5431.3359375
514,8061.90820312
515,6600.87744141
516,8564.25
517,4705.35205078
518,6500.82519531
519,6335.03173828
520,7218.16894531
521,7887.39941406
522,4275.51660156
523,8521.92773438
524,6232.41894531
525,7240.0546875
526,4174.29296875
527,3861.16040039
528,7985.47167969
529,6274.86474609
530,8458.49804688
531,6437.1796875
532,5544.40380859
533,8292.46386719
534,6422.97509766
535,6799.56494141
536,7530.14892578
537,5810.65478516
538,8379.02050781
539,10140.7958984
540,7544.25390625
541,4948.24755859
542,5558.22363281
543,4201.15283203
544,3097.42114258
545,7874.54541016
546,5177.01318359
547,8170.02392578
548,4627.73242188
549,6190.67871094
550,5980.28662109
551,9254.79492188
552,4907.43798828
553,5233.09082031
554,5650.80615234
555,6952.93896484
556,4919.09326172
557,6870.43554688
558,7029.14794922
559,7630.51611328
560,7501.95458984
561,6949.33886719
562,5686.61132812
563,4622.16503906
564,4853.30761719
565,9963.92773438
566,8934.12011719
567,6672.40136719
568,14343.3720703
569,5556.95166016
570,5327.00195312
571,5808.88134766
572,8273.04589844
573,10294.1015625
574,6669.54443359
575,8044.65673828
576,7683.34667969
577,7158.52001953
578,6159.79736328
579,5655.48681641
580,4827.66845703
581,4815.92138672
582,4062.21850586
583,4965.39160156
584,8387.01660156
585,15129.9658203
586,6364.66699219
587,5005.60839844
588,6789.39013672
589,4015.86865234
590,5959.54199219
591,3972.58618164
592,8710.28320312
593,6264.02880859
594,6100.10644531
595,12508.7265625
596,10984.71875
597,5349.87548828
598,6581.75927734
599,3726.88378906
